Original	Obfused	Corrected
still	still	still
kept	kept	kept
him	him	him
so	so	so
.	.	.
Among	Among	inspect
the	the	the
talkers	talkers	_UNK
,	,	,
was	was	was
Stryver	Stryver	_UNK
,	,	,
of	of	of
the	the	the
King	King	King
'	'	'
s	s	s
Bench	Bench	the
Bar	Bar	Bar
,	,	,
far	far	far
on	on	on
his	his	his
way	way	way
to	to	to
state	state	state
promotion	promotion	promotion
,	,	,
and	and	and
,	,	,
therefore	therefore	therefore
,	,	,
loud	loud	loud
on	on	on
the	the	a
theme	theme	theme
:	:	:
broaching	broaching	_UNK
to	to	to
Monseigneur	Monseigneur	_UNK
,	,	,
his	his	his
devices	devices	_UNK
for	for	for
blowing	blowing	blowing
the	the	the
people	people	people
up	up	up
and	and	and
exterminating	exterminating	_UNK
them	them	them
from	from	from
the	the	the
face	face	face
of	of	of
the	the	the
earth	earth	earth
,	,	,
and	and	and
doing	doing	doing
without	without	without
them	them	them
:	:	:
and	and	and
for	for	for
accomplishing	accomplishing	_UNK
many	many	many
similar	similar	similar
objects	objects	objects
akin	akin	akin
in	in	in
their	their	their
nature	nature	nature
to	to	to
the	the	the
abolition	abolition	_UNK
of	of	of
eagles	eagles	_UNK
by	by	by
sprinkling	sprinkling	_UNK
salt	salt	_UNK
on	on	on
the	the	the
tails	tails	tour
of	of	of
the	the	the
race	race	race
.	.	.
Him	Him	hedges
,	,	,
Darnay	Darnay	_UNK
heard	heard	heard
with	with	with
a	a	a
particular	particular	particular
feeling	feeling	feeling
of	of	of
objection	objection	objection
;	;	;
and	and	and
Darnay	Darnay	_UNK
stood	stood	stood
divided	divided	divided
between	between	between
going	going	going
away	away	away
that	that	that
he	he	he
might	might	might
hear	hear	hear
no	no	no
more	more	more
,	,	,
and	and	and
remaining	remaining	remaining
to	to	to
interpose	interpose	undermine
his	his	his
word	word	word
,	,	,
when	when	when
the	the	a
thing	thing	thing
that	that	that
was	was	was
to	to	to
be	be	be
,	,	,
went	went	went
on	on	on
to	to	to
shape	shape	shape
itself	itself	itself
out	out	out
.	.	.
The	A	A
House	House	House
approached	approached	approached
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
,	,	,
and	and	and
laying	laying	laying
a	a	a
soiled	soiled	soiled
and	and	and
unopened	unopened	_UNK
letter	letter	letter
before	before	before
him	him	him
,	,	,
asked	asked	asked
if	if	if
he	he	he
had	had	had
yet	yet	yet
discovered	discovered	discovered
any	any	any
traces	traces	traces
of	of	of
the	the	the
person	person	person
to	to	to
whom	whom	whom
it	it	it
was	was	was
addressed	addressed	addressed
?	?	?
The	The	The
House	House	House
laid	laid	laid
the	the	the
letter	letter	letter
down	down	down
so	so	so
close	close	close
to	to	to
Darnay	Darnay	_UNK
that	that	that
he	he	he
saw	saw	saw
the	the	the
direction--the	direction--the	_UNK
more	more	more
quickly	quickly	quickly
because	because	because
it	it	it
was	was	was
his	his	his
own	own	own
right	right	right
name	name	name
.	.	.
The	The	The
address	address	address
,	,	,
turned	turned	turned
into	into	into
English	English	English
,	,	,
ran	ran	ran
:	:	:
""""	""""	""""
Very	Very	Very
pressing	pressing	pressing
.	.	.
To	To	To
Monsieur	Monsieur	_UNK
heretofore	heretofore	had
the	the	the
Marquis	Marquis	_UNK
St	St	St
.	.	.
Evremonde	Evremonde	_UNK
,	,	,
of	of	of
France	France	famine
.	.	.
Confided	Confided	_UNK
to	to	to
the	the	the
cares	cares	cares
of	of	of
Messrs	Messrs	Messrs
.	.	.
Tellson	Tellson	_UNK
and	and	and
Co	Co	_UNK
.	.	.
,	,	,
Bankers	Bankers	_UNK
,	,	,
London	London	London
,	,	,
England	England	England
.	.	.
""""	""""	""""
On	On	On
the	a	a
marriage	marriage	blame
morning	morning	morning
,	,	,
Doctor	Doctor	'
Manette	Manette	_UNK
had	had	had
made	made	made
it	it	it
his	his	his
one	one	one
urgent	urgent	_UNK
and	and	and
express	express	express
request	request	request
to	to	to
Charles	Charles	Charles
Darnay	Darnay	_UNK
,	,	,
that	that	that
the	the	the
secret	secret	secret
of	of	of
this	this	this
name	name	name
should	should	should
be--unless	be--unless	_UNK
he	he	he
,	,	,
the	the	the
Doctor	Doctor	Doctor
,	,	,
dissolved	dissolved	_UNK
the	the	the
obligation--kept	obligation--kept	_UNK
inviolate	inviolate	_UNK
between	between	between
them	them	them
.	.	.
Nobody	Nobody	Nobody
else	else	else
knew	knew	knew
it	it	it
to	to	to
be	be	be
his	his	his
name	name	name
;	;	;
his	his	his
own	own	own
wife	wife	wife
had	had	had
no	no	no
suspicion	suspicion	suspicion
of	of	of
the	the	the
fact	fact	fact
;	;	;
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
could	could	could
have	have	have
none	none	none
.	.	.
""""	""""	""""
No	No	No
,	,	,
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
,	,	,
in	in	in
reply	reply	reply
to	to	to
the	a	the
House	House	House
;	;	;
""""	""""	""""
I	I	I
have	have	have
referred	referred	referred
it	it	it
,	,	,
I	I	I
think	think	think
,	,	,
to	to	to
everybody	everybody	everybody
now	now	now
here	here	here
,	,	,
and	and	and
no	no	no
one	one	one
can	can	can
tell	tell	tell
me	me	me
where	where	where
this	this	this
gentleman	gentleman	gentleman
is	is	is
to	to	to
be	be	be
found	found	found
.	.	.
""""	""""	""""
The	The	The
hands	hands	hands
of	of	of
the	the	the
clock	clock	clock
verging	verging	_UNK
upon	upon	upon
the	a	the
hour	hour	hour
of	of	of
closing	closing	closing
the	a	the
Bank	Bank	Bank
,	,	,
there	there	there
was	was	was
a	the	a
general	general	general
set	set	set
of	of	of
the	the	the
current	current	current
of	of	of
talkers	talkers	_UNK
past	past	past
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
'	'	'
s	s	s
desk	desk	desk
.	.	.
He	He	He
held	held	held
the	the	the
letter	letter	letter
out	out	out
inquiringly	inquiringly	_UNK
;	;	;
and	and	and
Monseigneur	Monseigneur	_UNK
looked	looked	looked
at	at	at
it	it	it
,	,	,
in	in	in
the	the	a
person	person	person
of	of	of
this	this	this
plotting	plotting	plotting
and	and	and
indignant	indignant	indignant
refugee	refugee	_UNK
;	;	;
and	and	and
Monseigneur	Monseigneur	_UNK
looked	looked	looked
at	at	at
it	it	it
in	in	in
the	the	a
person	person	person
of	of	of
that	that	that
plotting	plotting	plotting
and	and	and
indignant	indignant	indignant
refugee	refugee	_UNK
;	;	;
and	and	and
This	This	This
,	,	,
That	That	That
,	,	,
and	and	and
The	The	The
Other	Other	grate
,	,	,
all	all	all
had	had	had
something	something	something
disparaging	disparaging	_UNK
to	to	to
say	say	say
,	,	,
in	in	in
French	French	French
or	or	or
in	in	in
English	English	English
,	,	,
concerning	concerning	concerning
the	the	the
Marquis	Marquis	_UNK
who	who	who
was	was	was
not	not	not
to	to	to
be	be	be
found	found	found
.	.	.
""""	""""	""""
Nephew	Nephew	_UNK
,	,	,
I	I	I
believe--but	believe--but	_UNK
in	in	in
any	any	any
case	case	case
degenerate	degenerate	_UNK
successor--of	successor--of	_UNK
the	the	the
polished	polished	polished
Marquis	Marquis	_UNK
who	who	who
was	was	was
murdered	murdered	murdered
,	,	,
""""	""""	""""
said	said	said
one	one	one
.	.	.
""""	""""	""""
Happy	Happy	_UNK
to	to	to
say	say	say
,	,	,
I	I	I
never	never	never
knew	knew	knew
him	him	him
.	.	.
""""	""""	""""
""""	""""	""""
A	A	A
craven	craven	_UNK
who	who	who
abandoned	abandoned	abandoned
his	his	his
post	post	post
,	,	,
""""	""""	""""
said	said	said
another--this	another--this	_UNK
Monseigneur	Monseigneur	_UNK
had	had	had
been	been	been
got	got	got
out	out	out
of	of	of
Paris	Paris	,
,	,	,
legs	legs	legs
uppermost	uppermost	uppermost
and	and	and
half	half	half
suffocated	suffocated	_UNK
,	,	,
in	in	in
a	a	the
load	load	load
of	of	of
hay--	hay--	_UNK
""""	""""	""""
some	some	some
years	years	years
ago	ago	ago
.	.	.
""""	""""	""""
""""	""""	""""
Infected	Infected	_UNK
with	with	with
the	a	the
new	new	new
doctrines	doctrines	_UNK
,	,	,
""""	""""	""""
said	said	said
a	the	the
third	third	third
,	,	,
eyeing	eyeing	eyeing
the	a	a
direction	direction	direction
through	through	through
his	his	his
glass	glass	glass
in	in	in
passing	passing	passing
;	;	;
""""	""""	""""
set	set	set
himself	himself	himself
in	in	in
opposition	opposition	opposition
to	to	to
the	the	the
last	last	last
Marquis	Marquis	_UNK
,	,	,
abandoned	abandoned	abandoned
the	the	the
estates	estates	_UNK
when	when	when
he	he	he
inherited	inherited	the
them	them	them
,	,	,
and	and	and
left	left	left
them	them	them
to	to	to
the	the	the
ruffian	ruffian	ruffian
herd	herd	herd
.	.	.
They	They	They
will	will	will
recompense	recompense	recompense
him	him	him
now	now	now
,	,	,
I	I	I
hope	hope	hope
,	,	,
as	as	as
he	he	he
deserves	deserves	deserves
.	.	.
""""	""""	""""
""""	""""	""""
Hey	Hey	_UNK
?	?	?
""""	""""	""""
cried	cried	cried
the	the	the
blatant	blatant	_UNK
Stryver	Stryver	_UNK
.	.	.
""""	""""	""""
Did	Did	Did
he	he	he
though	though	though
?	?	?
Is	Is	Is
that	that	that
the	a	the
sort	sort	sort
of	of	of
fellow	fellow	fellow
?	?	?
Let	Let	Let
us	us	us
look	look	look
at	at	at
his	his	his
infamous	infamous	infamous
name	name	name
.	.	.
D--n	D--n	clearer
the	the	the
fellow	fellow	fellow
!	!	!
""""	""""	""""
Darnay	Darnay	_UNK
,	,	,
unable	unable	unable
to	to	to
restrain	restrain	and
himself	himself	himself
any	any	any
longer	longer	longer
,	,	,
touched	touched	touched
Mr	Mr	Mr
.	.	.
Stryver	Stryver	_UNK
on	on	on
the	the	the
shoulder	shoulder	shoulder
,	,	,
and	and	and
said	said	said
:	:	:
""""	""""	""""
I	I	I
know	know	know
the	the	the
fellow	fellow	fellow
.	.	.
""""	""""	""""
""""	""""	""""
Do	Do	Do
you	you	you
,	,	,
by	by	by
Jupiter	Jupiter	_UNK
?	?	?
""""	""""	""""
said	said	said
Stryver	Stryver	_UNK
.	.	.
""""	""""	""""
I	I	I
am	am	am
sorry	sorry	sorry
for	for	for
it	it	it
.	.	.
""""	""""	""""
""""	""""	""""
Why	Why	Why
?	?	?
""""	""""	""""
""""	""""	""""
Why	Why	Why
,	,	,
Mr	Mr	Mr
.	.	.
Darnay	Darnay	_UNK
?	?	?
D	D	D
'	'	'
ye	ye	ye
hear	hear	hear
what	what	what
he	he	he
did	did	did
?	?	?
Don	Don	Don
'	'	'
t	t	t
ask	ask	ask
,	,	,
why	why	why
,	,	,
in	in	in
these	these	these
times	times	times
.	.	.
""""	""""	""""
""""	""""	""""
But	But	But
I	I	I
do	do	do
ask	ask	ask
why	why	why
?	?	?
""""	""""	""""
""""	""""	""""
Then	Then	Then
I	I	I
tell	tell	tell
you	you	you
again	again	again
,	,	,
Mr	Mr	Mr
.	.	.
Darnay	Darnay	_UNK
,	,	,
I	I	I
am	am	am
sorry	sorry	sorry
for	for	for
it	it	it
.	.	.
I	I	I
am	am	am
sorry	sorry	sorry
to	to	to
hear	hear	hear
you	you	you
putting	putting	putting
any	any	any
such	such	such
extraordinary	extraordinary	extraordinary
questions	questions	questions
.	.	.
Here	Here	Here
is	is	is
a	the	the
fellow	fellow	fellow
,	,	,
who	who	who
,	,	,
infected	infected	lowered
by	by	by
the	the	the
most	most	most
pestilent	pestilent	_UNK
and	and	and
blasphemous	blasphemous	_UNK
code	code	code
of	of	of
devilry	devilry	_UNK
that	that	that
ever	ever	ever
was	was	was
known	known	known
,	,	,
abandoned	abandoned	abandoned
his	his	his
property	property	property
to	to	to
the	the	the
vilest	vilest	_UNK
scum	scum	boundaries
of	of	of
the	the	the
earth	earth	earth
that	that	that
ever	ever	ever
did	did	did
murder	murder	murder
by	by	by
wholesale	wholesale	filth
,	,	,
and	and	and
you	you	you
ask	ask	ask
me	me	me
why	why	why
I	I	I
am	am	am
sorry	sorry	sorry
that	that	that
a	a	the
man	man	man
who	who	who
instructs	instructs	_UNK
youth	youth	youth
knows	knows	knows
him	him	him
?	?	?
Well	Well	Well
,	,	,
but	but	but
I	I	I
'	'	'
ll	ll	ll
answer	answer	answer
you	you	you
.	.	.
I	I	I
am	am	am
sorry	sorry	sorry
because	because	because
I	I	I
believe	believe	believe
there	there	there
is	is	is
contamination	contamination	_UNK
in	in	in
such	such	such
a	the	a
scoundrel	scoundrel	scoundrel
.	.	.
That	That	That
'	'	'
s	s	s
why	why	why
.	.	.
""""	""""	""""
Mindful	Mindful	_UNK
of	of	of
the	the	a
secret	secret	secret
,	,	,
Darnay	Darnay	_UNK
with	with	with
great	great	great
difficulty	difficulty	difficulty
checked	checked	checked
himself	himself	himself
,	,	,
and	and	and
said	said	said
:	:	:
""""	""""	""""
You	You	You
may	may	may
not	not	not
understand	understand	understand
the	the	the
gentleman	gentleman	gentleman
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
understand	understand	understand
how	how	how
to	to	to
put	put	put
_you_	_you_	_you_
in	in	in
a	a	a
corner	corner	corner
,	,	,
Mr	Mr	Mr
.	.	.
Darnay	Darnay	_UNK
,	,	,
""""	""""	""""
said	said	said
Bully	Bully	_UNK
Stryver	Stryver	_UNK
,	,	,
""""	""""	""""
and	and	and
I	I	I
'	'	'
ll	ll	ll
do	do	do
it	it	it
.	.	.
If	If	If
this	this	this
fellow	fellow	fellow
is	is	is
a	the	the
gentleman	gentleman	gentleman
,	,	,
I	I	I
_don	_don	_don
'	'	'
t_	t_	t_
understand	understand	understand
him	him	him
.	.	.
You	You	You
may	may	may
tell	tell	tell
him	him	him
so	so	so
,	,	,
with	with	with
my	my	my
compliments	compliments	compliments
.	.	.
You	You	You
may	may	may
also	also	also
tell	tell	tell
him	him	him
,	,	,
from	from	from
me	me	me
,	,	,
that	that	that
after	after	after
abandoning	abandoning	_UNK
his	his	his
worldly	worldly	BETWEEN
goods	goods	goods
and	and	and
position	position	position
to	to	to
this	this	this
butcherly	butcherly	_UNK
mob	mob	mob
,	,	,
I	I	I
wonder	wonder	wonder
he	he	he
is	is	is
not	not	not
at	at	at
the	a	the
head	head	head
of	of	of
them	them	them
.	.	.
But	But	But
,	,	,
no	no	no
,	,	,
gentlemen	gentlemen	gentlemen
,	,	,
""""	""""	""""
said	said	said
Stryver	Stryver	_UNK
,	,	,
looking	looking	looking
all	all	all
round	round	round
,	,	,
and	and	and
snapping	snapping	snapping
his	his	his
fingers	fingers	fingers
,	,	,
""""	""""	""""
I	I	I
know	know	know
something	something	something
of	of	of
human	human	human
nature	nature	nature
,	,	,
and	and	and
I	I	I
tell	tell	tell
you	you	you
that	that	that
you	you	you
'	'	'
ll	ll	ll
never	never	never
find	find	find
a	the	the
fellow	fellow	fellow
like	like	like
this	this	this
fellow	fellow	fellow
,	,	,
trusting	trusting	,
himself	himself	himself
to	to	to
the	the	the
mercies	mercies	.
of	of	of
such	such	such
precious	precious	precious
_prot茅g茅s_	_prot茅g茅s_	_UNK
.	.	.
No	No	No
,	,	,
gentlemen	gentlemen	gentlemen
;	;	;
he	he	he
'	'	'
ll	ll	ll
always	always	always
show	show	show
'	'	'
em	em	em
a	a	a
clean	clean	clean
pair	pair	pair
of	of	of
heels	heels	heels
very	very	very
early	early	early
in	in	in
the	the	the
scuffle	scuffle	scuffle
,	,	,
and	and	and
sneak	sneak	warlike
away	away	away
.	.	.
""""	""""	""""
With	With	With
those	those	those
words	words	words
,	,	,
and	and	and
a	the	a
final	final	final
snap	snap	snap
of	of	of
his	his	his
fingers	fingers	fingers
,	,	,
Mr	Mr	Mr
.	.	.
Stryver	Stryver	_UNK
shouldered	shouldered	locket
himself	himself	himself
into	into	into
Fleet-street	Fleet-street	_UNK
,	,	,
amidst	amidst	amidst
the	the	the
general	general	general
approbation	approbation	approbation
of	of	of
his	his	his
hearers	hearers	hearers
.	.	.
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
and	and	and
Charles	Charles	Charles
Darnay	Darnay	_UNK
were	were	were
left	left	left
alone	alone	alone
at	at	at
the	the	a
desk	desk	desk
,	,	,
in	in	in
the	the	a
general	general	general
departure	departure	departure
from	from	from
the	the	the
Bank	Bank	Bank
.	.	.
""""	""""	""""
Will	Will	Will
you	you	you
take	take	take
charge	charge	charge
of	of	of
the	a	the
letter	letter	letter
?	?	?
""""	""""	""""
said	said	said
Mr	Mr	Mr
.	.	.
Lorry	Lorry	_UNK
.	.	.
""""	""""	""""
You	You	You
know	know	know
where	where	where
to	to	to
deliver	deliver	deliver
it	it	it
?	?	?
""""	""""	""""
""""	""""	""""
I	I	I
do	do	do
.	.	.
""""	""""	""""
""""	""""	""""
Will	Will	Will
you	you	you
undertake	undertake	undertake
to	to	to
explain	explain	explain
,	,	,
that	that	that
we	we	we
suppose	suppose	suppose
it	it	it
to	to	to
have	have	have
been	been	been
addressed	addressed	addressed
here	here	here
,	,	,
on	on	on
the	a	the
chance	chance	chance
of	of	of
our	our	our
knowing	knowing	knowing
where	where	where
to	to	to
forward	forward	forward
it	it	it
,	,	,
and	and	and
that	that	that
it	it	it
has	has	has
been	been	been
here	here	here
some	some	some
time	time	time
?	?	?
""""	""""	""""
""""	""""	""""
I	I	I
will	will	will
do	do	do
so	so	so
.	.	.
Do	Do	Do
you	you	you
start	start	start
for	for	for
Paris	Paris	the
from	from	from
here	here	here
?	?	?
""""	""""	""""
""""	""""	""""
From	From	From
here	here	here
,	,	,
at	at	at
eight	eight	eight
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
will	will	will
come	come	come
back	back	back
,	,	,
to	to	to
see	see	see
you	you	you
